StateAbbreviation,StateFIPS,CongressionalDistrict,Population,WMY,WMO,WFY,WFO,NWMY,NWMO,NWFY,NWFO
"IN",18,2,722928,0.24322892459553372,0.1813223446871611,0.24028257309164952,0.19926880685213466,5.115585507823739e-2,1.4879766726423655e-2,5.069246176659363e-2,1.916926720226634e-2
"IN",18,3,744914,0.25593961182096187,0.17843804788203738,0.24392345962084214,0.1967891595539888,4.616371822787597e-2,1.5037977538346708e-2,4.513004185718083e-2,1.8577983498766302e-2
"IN",18,4,758815,0.2637876162173916,0.17996086002517084,0.24469073489585735,0.19899975619881,4.484096914267641e-2,1.2346882968839573e-2,4.308428273030976e-2,1.2288897820944498e-2
"IN",18,5,781441,0.23511691861573683,0.17212303935933743,0.23842235050374885,0.19129659180923447,5.7845697883781376e-2,2.3304382544555507e-2,5.653785762456794e-2,2.5353161659037598e-2
"IN",18,6,720147,0.25702807898942853,0.2027516604248855,0.24904776385932317,0.22261704901915857,2.7629081284793244e-2,7.687319394512509e-3,2.276340802641683e-2,1.0475639001481641e-2
"IN",18,7,755875,0.18827980816934017,0.1120608566231189,0.18383727468166033,0.12750256325450637,0.1331212171324624,4.764941293203241e-2,0.1438200760707789,6.372879113610054e-2
"IN",18,8,714623,0.257262920448964,0.19699058104762932,0.24552666231005718,0.2162846703786472,3.0543377417183607e-2,1.2125274445406878e-2,3.0130572343739285e-2,1.1135941608372526e-2
"IN",18,9,753818,0.2659846275891528,0.18537631099283913,0.25359038919208615,0.20795470524715515,3.506549326229939e-2,1.0047518101186228e-2,3.0979626381964876e-2,1.1001329233316265e-2
"IA",19,1,774043,0.2521281117457299,0.19828484980808558,0.24276687470851102,0.2171546025220821,3.552128240937519e-2,8.505987393465222e-3,3.613106765386419e-2,9.50722375888678e-3
"IA",19,2,780802,0.2554680956247551,0.19067061815927724,0.2402030220209477,0.20904147274212925,4.080419875973678e-2,1.0056326699982838e-2,4.205163408905203e-2,1.1704631904119097e-2
"IA",19,3,835190,0.2564733773153414,0.17498653001113518,0.25064236880230845,0.1949592308337025,5.069145942839354e-2,1.1872747518528718e-2,4.6628910786767085e-2,1.3745375303823082e-2
"IA",19,4,755676,0.2577056833881187,0.20096178785617116,0.2417742524574024,0.21899729513706934,3.381210995188414e-2,8.905933230643821e-3,2.7789687643910883e-2,1.005325033479957e-2
"KS",20,1,702327,0.2731405741200324,0.17674815292591628,0.2558480593797476,0.19145782520108154,4.431838730391968e-2,1.3002490292983183e-2,3.4092381469030805e-2,1.1392129307288485e-2
"KS",20,2,715120,0.25007271506879963,0.18253020472088602,0.23715180668978633,0.20287364358429355,4.977066785993959e-2,1.83423761047097e-2,4.184332699407092e-2,1.7415258977514263e-2
"KS",20,3,770493,0.23714686570805965,0.1570358199230882,0.23429674247527232,0.1768997252408523,7.240299392726475e-2,2.484902523449272e-2,6.833157471904353e-2,2.9037252771926546e-2
"KS",20,4,725183,0.23452149319551066,0.16605050035646174,0.2280196860654483,0.18157347869434337,7.124684390009142e-2,2.4093228881537487e-2,6.622466329188632e-2,2.8270105614720698e-2
"KY",21,1,716177,0.2487457709476847,0.19203911882118527,0.2327441400659334,0.21522333166242424,4.025820432658407e-2,1.666487474465111e-2,3.670880243291812e-2,1.7615756998619055e-2
"KY",21,2,760681,0.25349785258209423,0.18702320683703155,0.24498968687268383,0.20605220848161054,3.851417348402287e-2,1.2988361744279139e-2,4.07818783432214e-2,1.6152631655056458e-2
"KY",21,3,746559,0.19572063293055203,0.15048375279113907,0.18970905179630812,0.17430638435810164,9.743771088420339e-2,4.0049078505516644e-2,0.10146284486557659,5.083054386860248e-2
"KY",21,4,760043,0.2601313346744855,0.1911549741264639,0.25503557035588775,0.21013547917683606,3.577166028764162e-2,8.691613500815085e-3,2.83747103782286e-2,1.0704657499641468e-2
"KY",21,5,696337,0.26979465402527797,0.20861019879742138,0.2559737598318056,0.23089107716522317,1.4615049896817202e-2,5.1153392681991625e-3,9.740973120773419e-3,5.2589478944821254e-3
