StateAbbreviation,StateFIPS,CongressionalDistrict,Population,MedianHouseholdIncome,MedianAge,CollegeGrads,AverageHouseholdSize,PovertyCount
"PA",42,18,713533,67503.0,44.4,124686,2.37,52910
"RI",44,1,539250,59193.0,38.5,74343,2.49,68013
"RI",44,2,520389,69702.0,40.5,75356,2.49,50354
"SC",45,1,782340,66337.0,39.5,135941,2.62,67997
"SC",45,2,713488,58665.0,38.7,104275,2.57,90200
"SC",45,3,687378,47004.0,40.6,63939,2.56,111340
"SC",45,4,731886,53006.0,38.2,96373,2.55,91886
"SC",45,5,718465,51131.0,40.1,81465,2.56,105240
"SC",45,6,670725,35615.0,36.0,52283,2.54,149620
"SC",45,7,720087,42159.0,42.9,72748,2.55,135624
"SD",46,0,869666,56521.0,36.9,109803,2.43,109099
"TN",47,1,714912,42300.0,43.7,64326,2.41,115563
"TN",47,2,747673,52025.0,39.7,96597,2.45,103424
"TN",47,3,733082,47681.0,41.8,81719,2.45,106382
"TN",47,4,782024,56304.0,37.5,87645,2.65,105786
"TN",47,5,774096,57116.0,34.9,134829,2.4,107511
"TN",47,6,772984,53708.0,40.7,79436,2.61,97108
"TN",47,7,778057,57852.0,37.6,96608,2.68,87692
"TN",47,8,716130,56477.0,40.6,84048,2.6,92941
"TN",47,9,697026,40491.0,33.7,65632,2.6,163877
"TX",48,1,717376,49086.0,37.2,67293,2.73,126208
"TX",48,2,772262,77519.0,36.1,140583,2.71,78141
"TX",48,3,870763,95235.0,37.3,196693,2.82,54184
"TX",48,4,747188,56062.0,38.5,77246,2.76,98273
"TX",48,5,769579,52375.0,36.1,62625,2.88,100932
"TX",48,6,792043,66965.0,35.3,97093,2.96,78581
"TX",48,7,800081,73130.0,34.5,150044,2.73,103713
"TX",48,8,863498,70846.0,37.1,117313,2.89,87794
"TX",48,9,789535,48743.0,32.9,83395,2.95,140078
"TX",48,10,846261,75517.0,35.2,147913,2.87,65863
"TX",48,11,759467,55237.0,35.2,71280,2.77,92313
"TX",48,12,806551,67703.0,35.1,115879,2.7199999999999998,75866
"TX",48,13,713480,50557.0,36.2,66740,2.6,94867
"TX",48,14,765031,61516.0,36.9,81426,2.7,100604
"TX",48,15,790730,42474.0,31.2,62152,3.35,198707
"TX",48,16,742384,45563.0,32.8,72730,3.0,147541
"TX",48,17,771567,51036.0,33.2,95018,2.61,135063
"TX",48,18,800402,45584.0,32.4,70839,2.86,174741
"TX",48,19,734202,48590.0,33.1,67842,2.7,117599
"TX",48,20,806372,51086.0,32.0,80895,3.12,139412
"TX",48,21,809322,71486.0,37.8,162515,2.51,81445
"TX",48,22,897080,94048.0,36.0,165234,3.12,72114
"TX",48,23,769276,50338.0,33.3,73665,3.26,127836
"TX",48,24,800103,74127.0,35.8,161339,2.58,56660
"TX",48,25,789825,72046.0,36.4,128004,2.8,79781
"TX",48,26,879237,91650.0,35.5,172391,2.93,56944
"TX",48,27,740277,52790.0,37.1,66462,2.76,112653
"TX",48,28,753502,46777.0,31.7,56162,3.44,176085
"TX",48,29,761833,42792.0,30.5,33708,3.38,182845
"TX",48,30,774443,49972.0,32.8,66472,2.81,146458
"TX",48,31,853799,70346.0,34.8,132241,2.9,74559
"TX",48,32,763452,70640.0,36.4,142848,2.6,84888
"TX",48,33,753565,42229.0,30.0,31985,3.35,158095
"TX",48,34,727595,37977.0,32.0,48991,3.35,197218
"TX",48,35,830041,48284.0,32.5,82009,2.87,158277
"TX",48,36,742474,57908.0,37.8,61286,2.84,100567
"UT",49,1,763612,67968.0,31.0,93359,3.14,70790
"UT",49,2,765809,61561.0,32.7,98790,2.92,90165
"UT",49,3,767012,71367.0,28.4,116292,3.27,73686
"UT",49,4,805400,72937.0,31.5,108363,3.21,61916
"VT",50,0,623657,57513.0,42.6,98774,2.33,67841
"VA",51,1,805159,88049.0,39.1,123179,2.85,53964
"VA",51,2,741514,70500.0,36.1,106167,2.55,63794
"VA",51,3,739840,52797.0,35.0,81599,2.5300000000000002,122872
"VA",51,4,771899,57684.0,37.5,94284,2.63,110089
"VA",51,5,727064,54726.0,42.6,89616,2.44,91635
"VA",51,6,752763,54525.0,39.5,85241,2.46,92462
"VA",51,7,790084,77533.0,39.7,134603,2.7199999999999998,59690
"VA",51,8,801609,104149.0,36.1,176220,2.51,68394
"VA",51,9,711755,43987.0,42.9,58121,2.44,126607
"VA",51,10,850118,122092.0,38.0,169183,3.03,34021
"VA",51,11,778215,106527.0,37.4,151977,2.88,50955
"WA",53,1,744868,94638.0,38.3,142619,2.66,49381
"WA",53,2,745184,69599.0,38.7,113327,2.52,71964
"WA",53,3,731931,66030.0,39.9,87448,2.63,87475
"WA",53,4,724053,54262.0,34.1,57352,2.91,110452
"WA",53,5,716859,52214.0,37.9,89845,2.42,97503
"WA",53,6,713112,63129.0,41.5,94679,2.41,82563
"WA",53,7,768408,86452.0,36.9,199907,2.14,72083
"WA",53,8,757166,83495.0,37.6,110853,2.81,68156
"WA",53,9,765319,80283.0,36.9,142711,2.62,83883
"WA",53,10,738843,66307.0,36.1,91651,2.62,78699
"WV",54,1,611376,47450.0,41.2,56748,2.5,101608
"WV",54,2,621635,48426.0,42.5,56917,2.55,102757
"WV",54,3,582846,36000.0,43.2,42713,2.36,131936
"WI",55,1,715529,65381.0,40.6,97269,2.5,59621
"WI",55,2,761806,68089.0,36.4,127852,2.38,86776
"WI",55,3,720944,54704.0,38.7,83216,2.38,84971
"WI",55,4,708971,42087.0,33.2,77113,2.5,155139
"WI",55,5,730386,70709.0,41.6,132537,2.43,53147
"WI",55,6,715060,59685.0,42.1,89595,2.33,61017
"WI",55,7,710385,54355.0,44.4,79232,2.35,74036
"WI",55,8,732402,61163.0,40.5,95862,2.38,64857
"WY",56,0,579315,60434.0,37.5,67312,2.5,64054
